company_name,job_count
Qube Research & Technologies,1
Quess Enterprise,1
Qure.ai,1
REA,1
RED Global,1
RSM,1
RWS,1
RWS Group,1
Radiansys Technologies,1
ReSource Pro,1
Redfoxa Careerlink Pvt Ltd,1
Refining Skills Academy,1
Rehiko,1
RemoteLegalStaff,1
Renesas,1
Renesas Electronics,1
Rentomojo,1
Rezo.ai,1
Riveron,1
Roboyo,1
RoshanSpace,1
Röhlig Blue Services India,1
SOURCBOX SOLUTION,1
SPECTRAFORCE,1
SVKM's Narsee Monjee Institute of Management Studies,1
SYSTRA,1
Saama Technologies,1
Sage,1
Saxon Global INC,1
Scale IR,1
Scopely,1
ScoutforU Consultants,1
Seattle New Media,1
Seeking Alpha,1
ServiceTitan,1
Seternity Solutions,1
Seven N Half Private Limited,1
Siemens 1,1
Silicon Labs Pvt.Ltd,1
Simform,1
Simulationhub,1
Sisco Jobs,1
Skan AI,1
Skeps,1
Skillmine Technology,1
Skillz,1
Skillz Inc.,1
Skylink Fibernet,1
Smart Work Consultants,1
Smith+Nephew,1
Software Engineering Firm,1
SoftwareOne,1
SolarWinds,1
Sole Point,1
Solenis,1
Sonata Software,1
Sophos,1
Sopra Steria,1
Spectra Technovision,1
Spikewell,1
SquadStack,1
Stats Perform,1
StatusNeo,1
Stillfront Group,1
Stolt-Nielsen Digital Innovation Centre,1
Stripe,1
Sulzer,1
Sun Dew Solutions Private Limited,1
Sun Life,1
SuperProcure,1
Supplier.io,1
TAAS Partners,1
TD Synnex,1
TELUS International AI Inc,1
TIN Capital,1
TJX Companies,1
TMF,1
TalentOla,1
Talentone HR Consulting LLP,1
Tap Invest,1
Tech Firefly,1
Tech Mahindra,1
TechBiz Global GmbH,1
Techcom Solutions India Private Limited,1
TekClan,1
TekFriday,1
Telemploy,1
Terralogic Software Solutions,1
The Blue Venture Fund,1
The Citco Group Limited,1
The Depository Trust & Clearing Corporation,1
The Depository Trust & Clearing Corporation (DTCC),1
The Guitar Center Company,1
The Hartford,1
TheHiveCareers,1
Thomasmount Consulting,1
Tokopedia,1
Toolyt,1
TopGrep Tech Private Limited,1
Tops Infosolutions,1
Tradeweb,1
Tradeweb Markets,1
Trane Technologies,1
TransPerfect,1
Treebo Hospitality Ventures,1
Tricon Energy,1
Truviq Systems,1
Tyson Foods,1
Tyson IT solutions India,1
U.S. Bank,1
Uber,1
Ubisoft,1
Unacademy,1
Unison Group,1
United Airlines,1
Unity SFB,1
Universal Education,1
University Living,1
VDart Software Services Private Limited,1
VDart Software Services Pvt. Ltd.,1
Valenta,1
ValueMomentum,1
Vbeyond Corporation,1
Vedita Ventures,1
Vendavo,1
Vera Bradley,1
Verifone,1
Verisk Analytics,1
Viavi Solutions,1
Vikash Technologies,1
Vinayak Outsourcing Works,1
ViralChilly,1
Visa,1
Vistance Networks,1
Vistex,1
Vistex Career,1
Vois,1
Volante Technologies,1
Volvo Group India Private Limited,1
WHEEBOX,1
WNS,1
WPP Production,1
Wabtec,1
Wabtec Corporation,1
Wadhwani AI,1
Warner Bros. Discovery,1
Weatherford,1
Webkit24,1
WeblineIndia,1
Welo Data,1
Western Digital,1
Whisk Software Private Limited,1
Whitecrow,1
WillWare Technologies,1
Wise,1
Wishup,1
Wk,1
Workfreaks Business Services Private Limited,1
Wroots Global Private Limited,1
"XPO, Inc.",1
Xapads,1
YO AI Labs,1
Yahoo,1
Yash Technologies,1
YouTrip,1
ZH healthcare,1
Zealsoft Technology Solutions Private Limited,1
Zelis,1
Zepz,1
alegeus,1
amadeus,1
amdocs,1
apexx,1
arena-investors-lp,1
aresmgmt,1
ascendion,1
astreya,1
azenta,1
barracuda-networks-inc,1
bigsteptech,1
billgosling,1
bolna,1
cambridgetechnology,1
cieloprojects,1
circlelogistics1,1
clarisights,1
codvo-team,1
colliers1,1
cotality,1
cubic,1
dexcarehealth,1
diconium,1
dowjones,1
dynata,1
eBay,1
ePS Software,1
eProductivity Software,1
elemica,1
elevancehealth,1
fampay,1
flutterbe,1
getinz-people,1
gh,1
gmx.io,1
hackajob,1
hbfuller,1
innovaccer-analytics,1
issgovernance,1
kaufmanrossin,1
lbg,1
learners point.org,1
lilly,1
mdlz,1
metromakro,1
mobility,1
modeln,1
modmed,1
ncratleos,1
nttlimited,1
nucleusteq,1
nxwave,1
openlane,1
parker,1
pavebank,1
people10,1
pinebridge,1
pinnacle,1
protiviti india,1
protolabs,1
qadinc,1
quickenloans,1
r3 Consultant,1
razorpaysoftwareprivatelimited,1
remote next,1
remote zest jobs,1
remotestar-team,1
robusta,1
sedintechnologies-talent,1
sensor-tower,1
sgs,1
slice,1
suntekai,1
svb,1
target.com,1
thgrp,1
tieto2,1
ubisoft2,1
unilever,1
valocityglobal,1
veralto,1
vxi,1
wf,1
wikimedia,1
woodmac,1
zolve,1
